panther:/ # cat /proc/28308/maps
6d360dd000-6d360de000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28448]
6d360de000-6d361e5000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28448]
6d361e5000-6d361e7000 ---p 00000000 00:00 0 
6d361e7000-6d361e8000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28447]
6d361e8000-6d362ef000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28447]
6d362ef000-6d362f0000 ---p 00000000 00:00 0 
6d373fa000-6d38252000 ---p 00000000 00:00 0 
6d38252000-6d38254000 rw-p 00000000 00:00 0 
6d38254000-6d383fa000 ---p 00000000 00:00 0 
6d383fa000-6d383fb000 ---p 00000000 00:00 0 
6d383fb000-6d383fc000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28442]
6d383fc000-6d38503000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28442]
6d38503000-6d38504000 ---p 00000000 00:00 0 
6d38504000-6d386b6000 ---p 00000000 00:00 0 
6d386b6000-6d386b8000 rw-p 00000000 00:00 0 
6d386b8000-6d39504000 ---p 00000000 00:00 0 
6d39504000-6d39505000 ---p 00000000 00:00 0 
6d39505000-6d39506000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28441]
6d39506000-6d39601000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28441]
6d39601000-6d39602000 ---p 00000000 00:00 0 
6d39602000-6d3963a000 r-xp 00000000 fe:2c 78992                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libturingqps.so
6d3963a000-6d3963b000 ---p 00000000 00:00 0 
6d3963b000-6d3963c000 r--p 00038000 fe:2c 78992                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libturingqps.so
6d3963c000-6d3963f000 rw-p 00039000 fe:2c 78992                          /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/libturingqps.so
6d39648000-6d39c90000 ---p 00000000 00:00 0 
6d39c90000-6d39c92000 rw-p 00000000 00:00 0 
6d39c92000-6d3a648000 ---p 00000000 00:00 0 
6d3a648000-6d3a649000 ---p 00000000 00:00 0 
6d3a649000-6d3a64a000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28439]
6d3a64a000-6d3a751000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28439]
6d3a751000-6d3a752000 ---p 00000000 00:00 0 
6d3a752000-6d3b178000 ---p 00000000 00:00 0 
6d3b178000-6d3b17a000 rw-p 00000000 00:00 0 
6d3b17a000-6d3b752000 ---p 00000000 00:00 0 
6d3b752000-6d3b753000 ---p 00000000 00:00 0 
6d3b753000-6d3b754000 ---p 00000000 00:00 0                              [anon:stack_and_tls:28438]
6d3b754000-6d3b85b000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:28438]
6d3b85b000-6d3b85c000 ---p 00000000 00:00 0 
6d3b85c000-6d3b8df000 r-xp 00000000 fe:2c 113185                         /data/app/~~LzSS60h4_mJwhWyAn4xA2g==/com.tencent.token-_4XZlzn5NnLLZ9ZSk_cS3w==/lib/arm64/librmonitor_base.so
6d3b8df000-6d3b8e0000 ---p 00000000 00:00 0 
